timepoint, 573 DHB ratio, 573 Velocity average,736 DHB ratio,736 Velocity average
T1,0.2957690827,0.9535,0.429601275,0.2665
T2,0.2752075923,0.8495,0.41563825,0.55
T3,0.295817138,1.4895,0.404928805,0.292
T4,0.3031951907,1.2895,0.41348598,0.4135
T5,0.3219473497,0.4495,0.47915215,0.5655
T6,0.3192663833,0.695,0.44097203,0.239
T7,0.3561281163,1.017,0.47335649,0.5575
T8,0.2938802033,1.893,0.34168642,0.975
T9,0.3223924397,0.3445,0.3387886825,0.72125
T10,0.3208775013,0.525,0.3434896075,1.416
T11,0.3404822928,0.857,0.3286416825,0.61575
T12,0.334594096,0.913,0.3454203825,1.39775
T13,0.3099868725,0.7075,0.37610915,1.0325
T14,0.3281356418,0.809,0.3877656033,1.27725
T15,0.3649216825,1.442,0.37981336,0.8425
T16,0.3441413875,0.1175,0.367958485,1.02525
T17,0.3574755253,0.7095,0.40336455,1.09575
T18,0.3395570824,0.5176666667,0.4156662275,0.53575
T19,0.3499802572,1.505,0.4696783067,1.44075
T20,0.3105043308,1.046,0.4686451933,1.26775
T21,0.360173457,0.768,0.4574478333,1.9625
T22,0.349148865,0.2703333333,0.43004929,0.79325
T23,0.3307816592,1.477666667,0.4712941933,0.96425
T24,0.3642745058,0.277,0.4818036467,1.097
T25,0.3362141755,2.758333333,0.4387763133,1.18975
T26,0.3445578562,1.694,0.4819562033,1.47025
T27,0.3631037533,0.404,0.4938641267,0.9205
T28,0.3332600003,0.5575,0.4789708167,0.99825
T29,0.3217763123,1.213666667,0.299176,0.7675
T30,0.3030167357,1.436333333,0.3006575,0.50175
T31,0.3108769815,1.221333333,0.313647,0.5
T32,0.328280868,0.7066666667,0.30345,1.42825
T33,0.3297328328,0.8186666667,0.347714,1.06275
T34,0.3583002167,1.256,0.3318445,1.77075
T35,0.3226961125,1.896333333,0.2922905,1.0875
T36,0.345626739,0.9263333333,0.2818646667,2.3394
T37,0.3203537452,0.2653333333,0.2618993333,1.3162
T38,0.337791632,0.9963333333,0.3081656667,0.816
T39,0.33760662,0.6283333333,0.30397,1.6702
T40,0.3144091626,0.665,0.2737583333,1.3348
T41,0.3663270508,0.682,0.252235,1.473833333
T42,0.3754451872,0.686,0.28718775,1.674666667
T43,0.3628575573,0.4655,0.26955775,2.015166667
T44,0.4164319504,0.351,0.2626031333,2.704714286
T45,0.2901964043,0.837,0.26258024,1.413857143
T46,0.344921562,0.517,0.24512584,2.9445
T47,0.332806022,1.182,0.26455496,1.1578
T48,0.3388769694,0.3965,0.2748826,1.3176
T49,0.3108305737,0.459,0.26430284,1.2202
T50,0.3318775296,0.718,0.2574242,0.8032
T51,0.350040412,0.777,0.272730575,1.3562
T52,0.3574431118,0.329,0.27340976,1.66725
T53,0.3423633313,1.184,0.28234244,0.5345
T54,0.335087969,0.4215,0.2692084667,0.725
T55,0.2891140143,0.3,0.2802976,1.474
T56,0.2485724827,0.448,0.2744743,1.2602
T57,0.265353767,0.7645,0.2943783167,1.1806
T58,0.2961282442,0.688,0.28621845,0.764
T59,0.2815464223,0.459,0.2960220833,1.09175
T60,0.2985977376,0.9685,0.2721332,1.99975
T61,0.320775418,0.684,0.28081886,1.575
T62,0.3330695486,0.5453333333,0.28642102,1.255
T63,0.3048600937,1.016666667,0.2845450667,0.7283333333
T64,0.2574507287,0.5503333333,0.2832875,0.9636666667
just entered gonad,0.30555937,0.3533333333,0.3005750333,1.74
T66,0.2811833015,0.3443333333,0.30319906,0.6003333333
T67,0.3078479498,0.87,0.2754492667,0.6165
T68,0.349967836,0.5003333333,0.32686175,1.656
T69,0.361263878,0.7513333333,0.305723275,1.093
T70,0.3045259073,0.368,0.360044575,1.4215
T71,0.3491251847,0.265,0.29849085,3.201
T72,0.3883227314,0.5045,0.3245196667,0.568
T73,0.3187526568,1.1055,0.3085755,1.2225
T74,0.3389466395,0.7235,0.2790665,2.626
T75,0.3086214745,0.078,0.2959815,1.113
T76,0.3134214028,0.543,0.3356253333,0
T77,0.3237219274,0.4126666667,0.3644255,0
T78,0.3681607405,0.3406666667,0.341265,0.982
T79,0.3560984995,0.5053333333,0.3811565,0.456
T80,0.314621331,0.371,0.368501,0.903
T81,0.3442072366,0.754,0.387135,0.639
T82,0.354705328,0.398,0.323332,0.376
T83,0.3650413368,0.2236666667,0.486669,0.144
T84,0.3790604382,0.5806666667,0.308465,0.635
T85,0.3456810672,0.8413333333,0.436148,0.456
T86,0.332660154,3.631333333,0.303206,0.266
T87,0.363252763,0.7136666667,0.293586,0.612
T88,0.3350073215,0.6366666667,0.3062316667,2.385333333
T89,0.3432178737,0.923,0.241969,1.914666667
T90,0.343370972,0.5533333333,0.2246,1.836666667
T91,0.345604938,0.38,0.2622825,0.724
T92,0.3577705655,0.548,0.2354855,1.231
T93,0.4005535745,0.3853333333,0.2727445,2.904
T94,0.3486218465,0.68525,0.3176446667,3.173666667
T95,0.3367725066,0.9862,0.25050575,2.745333333
T96,0.365229122,1.104,0.304958,1.506666667
T97,0.3475260445,0.75525,0.2962965,1.435666667
T98,0.3369518996,0.58825,0.278072,2.705333333
T99,0.35559188,0.49125,0.2652816667,0.7445
T100,0.3166968628,0.931,0.3205215,0.814
T101,0.3183031973,0.32925,0.2908403333,0.462
T102,0.3052575944,0.48275,0.2790505,1.993
T103,0.3555299978,0.60325,0.3243076667,0.6925
T104,0.2977123198,0.265,0.2737073333,2.053
T105,0.3816821683,0.3766666667,0.2907926667,0.5545
T106,0.3483054658,0.3623333333,0.2979466667,1.246
T107,0.309239133,0.4363333333,0.278357,0.392
T108,0.3889994015,0.6596666667,0.2910786667,0.695
